#,Phase,Working Paper / Document,Present in File?,File Reference,Applicable Company Type (Pakistan)
1,Pre-Engagement,Client acceptance checklist,No,N/A,All
2,Pre-Engagement,Independence confirmation,No,N/A,All
3,Pre-Engagement,Engagement letter,No,N/A,All
4,Pre-Engagement,Engagement team appointment & briefing,No,N/A,All
5,Pre-Engagement,Initial planning meeting minutes,No,N/A,All
6,Pre-Engagement,Understanding of company type (Listed / Pvt / SMC / AOP / NGO),No,N/A,All
7,Pre-Engagement,Applicable regulatory framework mapping (SECP / PSX / SBP / SEC / FBR),No,N/A,All
8,Planning - Strategy & Materiality,Audit Strategy & Planning Memorandum,Yes,B3,All
9,Planning - Strategy & Materiality,Materiality Computation (Overall / Performance / Trivial),Yes,B2,All
10,Planning - Strategy & Materiality,Performance Materiality & Posting Threshold,Yes,B12,All
11,Planning - Strategy & Materiality,Understanding the Entity (ISA 315),Yes,B3,All
12,Planning - Strategy & Materiality,Overall Audit Program,Yes,B4,All
13,Planning - Strategy & Materiality,Key Accounting Estimates (ISA 540),Yes,B5,All
14,Planning - Strategy & Materiality,IT Systems Understanding,Yes,B6,All
15,Planning - Strategy & Materiality,Going Concern - Initial Assessment,Yes,B7,All
16,Planning - Strategy & Materiality,Related Party Planning,Yes,B8,All
17,Planning - Strategy & Materiality,Laws & Regulations Planning (ISA 250),Yes,B9,All
18,Planning - Strategy & Materiality,Journal Entry Testing Plan (ISA 240),Yes,B10,All
19,Planning - Strategy & Materiality,Sampling Strategy Memo,Yes,B11,All
20,Planning - Strategy & Materiality,Component / Branch Audit Planning,Yes,B13,Group / Branch audits
21,Planning - Strategy & Materiality,PSX / GEM Board Listing Compliance Planning,No,N/A,Listed + GEM Board companies
22,Planning - Strategy & Materiality,Code of Corporate Governance (CCG) 2019 compliance plan,No,N/A,Listed companies
23,Planning - Strategy & Materiality,Single Member Company (SMC) specific considerations,No,N/A,SMC only
24,Risk Assessment,Overall Risk Assessment (Entity-level),Yes,C1,All
25,Risk Assessment,Fraud Risk Assessment (ISA 240),Yes,C2,All
26,Risk Assessment,Significant Risk Documentation,Yes,C3,All
27,Risk Assessment,Account-Level Risk Register,Yes,C4,All
28,Risk Assessment,Revenue Recognition Risk (IFRS 15),Yes,C5,All
29,Risk Assessment,Management Override Risk,Yes,C6,All
30,Risk Assessment,Going Concern Risk Factors,Yes,C7,All
31,Risk Assessment,Related Party Risk Assessment,Yes,C8,All
32,Risk Assessment,Compliance Risk Assessment,Yes,C9,All
33,Risk Assessment,IT Risk Assessment,Yes,C10,All
34,Risk Assessment,Group Audit Risk Summary,Yes,C11,Group audits
35,Risk Assessment,Service Organization Risk Review,Yes,C12,Outsourced functions
36,Risk Assessment,PSX / SECP whistleblower & vigilance mechanism review,No,N/A,Listed companies
37,Risk Assessment,Dividend distribution risk assessment (legal vs. distributable profits),No,N/A,Listed + large Pvt
38,Risk Assessment,SBP / Banking regulatory compliance risk (for banks/DFIs),No,N/A,Banks / DFIs / NBFCs
39,Risk Assessment,SECP NBFC / Leasing / Modaraba specific regulatory risk,No,N/A,NBFC / Leasing / Modaraba
40,Risk Assessment,Insurance (SECP Insurance Division) compliance risk,No,N/A,Insurance companies
41,Risk Assessment,Partnership / AOP audit risk considerations (unlimited liability),No,N/A,AOP / Partnership
42,Analytical Procedures,Preliminary Analytical Review,Yes,D1,All
43,Analytical Procedures,Ratio Analysis & Industry Benchmarking,Yes,D2,All
44,Analytical Procedures,Revenue Trend & Disaggregation Analysis,Yes,D3,All
45,Analytical Procedures,Expense Completeness Analytics,Yes,D4,All
46,Analytical Procedures,Final Analytical Review,Yes,D5,All
47,Analytical Procedures,Gross Margin Analysis,Yes,D6,All
48,Analytical Procedures,Working Capital Analytics,Yes,D7,All
49,Analytical Procedures,Cash Flow Analytical Review,Yes,D8,All
50,Analytical Procedures,Segment / Branch Performance Review,Yes,D9,All
51,Analytical Procedures,Budget vs Actual / Prior Year Variance,Yes,D10,All
52,Internal Controls,Controls Walkthrough - Revenue Cycle,Yes,E1,All
53,Internal Controls,Controls Walkthrough - Procure-to-Pay,Yes,E2,All
54,Internal Controls,Controls Walkthrough - Payroll,Yes,E3,All
55,Internal Controls,Controls Walkthrough - IT General Controls,Yes,E4,All
56,Internal Controls,Control Deficiencies & MMADs,Yes,E5,All
57,Internal Controls,Controls Walkthrough - Treasury / Cash,Yes,E6,All
58,Internal Controls,Controls Walkthrough - Inventory,Yes,E7,All
59,Internal Controls,Controls Walkthrough - Fixed Assets,Yes,E8,All
60,Internal Controls,Controls Walkthrough - Financial Close,Yes,E9,All
61,Internal Controls,Design & Implementation Testing Summary,Yes,E10,All
62,Internal Controls,Tests of Controls - Operating Effectiveness,Yes,E11,All
63,Internal Controls,PSX mandatory internal audit function review (CCG 2019),No,N/A,Listed companies
64,Internal Controls,SMC director-manager segregation of duties assessment,No,N/A,SMC only
65,Substantive - Assets,Cash & Bank - Confirmation & Reconciliation,Yes,F1,All
66,Substantive - Assets,Trade Receivables - Confirmation & Aging,Yes,F2,All
67,Substantive - Assets,Inventory - Physical Count & Valuation,Yes,F3,All
68,Substantive - Assets,PPE - Roll-Forward & Depreciation Test,Yes,F4,All
